(906939B31C0B93768242A58A682412B8,2013-01-01T14:02:01.000-05:00,Tuesday,Afternoon,2013-01-01T14:27:39.000-05:00,-73.862709,40.769142,-73.982079,40.762295,Manhattan)
(7B5156F38990963332B33298C8BAE25E,2013-01-05T11:54:49.000-05:00,Saturday,Afternoon,2013-01-05T12:03:48.000-05:00,-73.977127,40.74831,-73.990913,40.751053,Manhattan)
(0FDDEFAFF6FC38BD632B6DDED47DA618,2013-01-05T08:16:58.000-05:00,Saturday,Morning,2013-01-05T08:30:20.000-05:00,-73.976318,40.682724,-73.917915,40.742664,Queens)
(8434E8A33D8C0150573FAA00B8A9ABF5,2013-01-05T19:04:43.000-05:00,Saturday,Evening,2013-01-05T19:13:58.000-05:00,-73.966682,40.761139,-73.938515,40.792332,Manhattan)
(8105CBF11B1747C525FA81334375EF5B,2013-01-05T17:34:11.000-05:00,Saturday,Evening,2013-01-05T17:48:54.000-05:00,-73.948334,40.776482,-73.99176,40.733841,Manhattan)
(CD5A75F5F950B3E26D561732332C8A5D,2013-01-05T18:59:29.000-05:00,Saturday,Evening,2013-01-05T19:12:21.000-05:00,-73.993202,40.724407,-73.984833,40.748741,Manhattan)
(4F7873C913735088F9BEF85C1D054D31,2013-01-05T03:00:46.000-05:00,Saturday,Morning,2013-01-05T03:23:28.000-05:00,-73.9655,40.711113,-73.918327,40.758671,Queens)
(51C567531541EE45C5EE86E956E46E4C,2013-01-07T04:45:14.000-05:00,Monday,Morning,2013-01-07T04:48:56.000-05:00,-73.991936,40.749622,-73.978531,40.751308,Manhattan)
(6607D2680127BFBCFF94193B15578DE7,2013-01-01T18:45:02.000-05:00,Tuesday,Evening,2013-01-01T18:48:48.000-05:00,-73.982384,40.752102,-73.993332,40.736393,Manhattan)
(26516CD746248B3495CBD99A8ABAF8B4,2013-01-05T20:51:53.000-05:00,Saturday,Night,2013-01-05T21:02:43.000-05:00,-73.993828,40.721008,-73.9524,40.723228,Brooklyn)
(80430F0667E3C82E63AAF4F0DC547664,2013-01-05T03:20:28.000-05:00,Saturday,Morning,2013-01-05T03:43:36.000-05:00,-73.991142,40.750366,-73.984436,40.618481,Brooklyn)
(79807332B275653A2473554C7328500A,2013-01-02T06:58:08.000-05:00,Wednesday,Morning,2013-01-02T07:24:24.000-05:00,-73.987022,40.759373,-73.862022,40.768017,Queens)
(D8512BDC6E6DBF909DCC78174F02DA41,2013-01-06T00:46:25.000-05:00,Sunday,Morning,2013-01-06T01:02:05.000-05:00,-73.991173,40.74313,-74.013763,40.702297,Manhattan)
(7CE1605151178F02B4EBBD8472C86A13,2013-01-02T08:12:21.000-05:00,Wednesday,Morning,2013-01-02T08:24:43.000-05:00,-73.99115,40.750023,-73.952614,40.74115,Queens)
(26516CD746248B3495CBD99A8ABAF8B4,2013-01-05T19:45:00.000-05:00,Saturday,Evening,2013-01-05T19:57:27.000-05:00,-73.989342,40.763168,-73.991577,40.750309,Manhattan)
(E4D2F480F3C91138B7BA9F1BDE710434,2013-01-05T21:23:06.000-05:00,Saturday,Night,2013-01-05T21:25:19.000-05:00,-73.959496,40.779442,-73.960724,40.775745,Manhattan)
